Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.327162e+01  2.179825e+00  4.100870e+05  0.000000e+00
5000          -6.513295e+00  1.832196e+01  3.580093e-03  6.974384e+00  8.788367e+08  6.827321e-01
10000         -6.581107e+00  1.784445e+01  1.117706e-03  4.106732e+00  1.555736e+09  7.713518e-01
15000         -6.652513e+00  1.776400e+01  5.249977e-04  2.369646e+00  2.232235e+09  8.063802e-01
20000         -6.692345e+00  1.772112e+01  2.677441e-04  1.452423e+00  2.908689e+09  8.251278e-01
25000         -6.713170e+00  1.769884e+01  1.382828e-04  9.765753e-01  3.586021e+09  8.365959e-01
30000         -6.723959e+00  1.768730e+01  7.152557e-05  7.303243e-01  4.262512e+09  8.445865e-01
35000         -6.729543e+00  1.768134e+01  3.701448e-05  6.029375e-01  4.938921e+09  8.504023e-01
40000         -6.732430e+00  1.767825e+01  1.913309e-05  5.370406e-01  5.615673e+09  8.547649e-01
45000         -6.733924e+00  1.767666e+01  9.894371e-06  5.029547e-01  6.292144e+09  8.582273e-01
50000         -6.734696e+00  1.767583e+01  5.125999e-06  4.853203e-01  6.968655e+09  8.610126e-01
