Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.724717e+01  7.372109e+00  3.021290e+06  0.000000e+00
5000          -7.708251e+00  8.976275e+01  3.425598e-03  1.228442e+01  6.930603e+09  8.657400e-01
10000         -7.715225e+00  8.869278e+01  1.604080e-03  1.389149e+01  1.369682e+10  8.761303e-01
15000         -7.718533e+00  8.649821e+01  1.058578e-03  1.510947e+01  2.046259e+10  8.796685e-01
20000         -7.720517e+00  8.410392e+01  7.915497e-04  1.612755e+01  2.723579e+10  8.812082e-01
25000         -7.721872e+00  8.188560e+01  6.313324e-04  1.701528e+01  3.400075e+10  8.823481e-01
30000         -7.722870e+00  7.992374e+01  5.245209e-04  1.780806e+01  4.076644e+10  8.830941e-01
35000         -7.723627e+00  7.820203e+01  4.482269e-04  1.852882e+01  4.753111e+10  8.836464e-01
40000         -7.724189e+00  7.668271e+01  3.890991e-04  1.918884e+01  5.433627e+10  8.834026e-01
45000         -7.724564e+00  7.533028e+01  3.433228e-04  1.979698e+01  6.128327e+10  8.811688e-01
50000         -7.724730e+00  7.411452e+01  3.070831e-04  2.036065e+01  6.809261e+10  8.811676e-01
