Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  2.145350e+01  8.915300e+00  5.601344e+06  0.000000e+00
5000          -7.739815e+00  8.980392e+01  3.364563e-03  1.147446e+01  1.372509e+10  8.743257e-01
10000         -7.746605e+00  8.980392e+01  1.628876e-03  1.229068e+01  2.725748e+10  8.805069e-01
15000         -7.749904e+00  8.980392e+01  1.081467e-03  1.291661e+01  4.079205e+10  8.825397e-01
20000         -7.751897e+00  8.979916e+01  8.106232e-04  1.344344e+01  5.432497e+10  8.835863e-01
25000         -7.753264e+00  8.975030e+01  6.484985e-04  1.390843e+01  6.786523e+10  8.841198e-01
30000         -7.754276e+00  8.965089e+01  5.416870e-04  1.433012e+01  8.139725e+10  8.845655e-01
35000         -7.755065e+00  8.949469e+01  4.653931e-04  1.471572e+01  9.498135e+10  8.843989e-01
40000         -7.755702e+00  8.928382e+01  4.081726e-04  1.507677e+01  1.086026e+11  8.839711e-01
45000         -7.756229e+00  8.902551e+01  3.623962e-04  1.541360e+01  1.221317e+11  8.843061e-01
50000         -7.756677e+00  8.872726e+01  3.280640e-04  1.573352e+01  1.357261e+11  8.841483e-01
