Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
0             -9.803923e+00  8.980392e+01  1.417914e+01  1.984994e+00  3.491170e+05  0.000000e+00
500           -6.924971e+00  8.086993e+01  3.273010e-02  4.978049e+00  9.059357e+07  9.936136e-01
1000          -6.920894e+00  6.641187e+01  2.410126e-02  6.097340e+00  1.768897e+08  1.017753e+00
1500          -6.919126e+00  5.630511e+01  1.699448e-02  6.889044e+00  2.631872e+08  1.026057e+00
2000          -6.914392e+00  4.893722e+01  1.282501e-02  7.476846e+00  3.494795e+08  1.030275e+00
2500          -6.903545e+00  4.324019e+01  1.013947e-02  7.912228e+00  4.357585e+08  1.032854e+00
3000          -6.887855e+00  3.866747e+01  8.251190e-03  8.225986e+00  5.220572e+08  1.034542e+00
3500          -6.869751e+00  3.491032e+01  6.839752e-03  8.440409e+00  6.084236e+08  1.035635e+00
4000          -6.851334e+00  3.177435e+01  5.746841e-03  8.573427e+00  6.947321e+08  1.036543e+00
4500          -6.834002e+00  2.912640e+01  4.878998e-03  8.639856e+00  7.809916e+08  1.037316e+00
5000          -6.818539e+00  2.686969e+01  4.175186e-03  8.651985e+00  8.672669e+08  1.037916e+00
5500          -6.805285e+00  2.493094e+01  3.601074e-03  8.620207e+00  9.535848e+08  1.038361e+00
6000          -6.794303e+00  2.325309e+01  3.128052e-03  8.553020e+00  1.039913e+09  1.038722e+00
6500          -6.785491e+00  2.179084e+01  2.735138e-03  8.457621e+00  1.126209e+09  1.039057e+00
7000          -6.778668e+00  2.050780e+01  2.407074e-03  8.339881e+00  1.213779e+09  1.038254e+00
7500          -6.773616e+00  1.937439e+01  2.134323e-03  8.204703e+00  1.303289e+09  1.036013e+00
8000          -6.770112e+00  1.836652e+01  1.905441e-03  8.056218e+00  1.392092e+09  1.034587e+00
8500          -6.767938e+00  1.746433e+01  1.708984e-03  7.897665e+00  1.480456e+09  1.033637e+00
9000          -6.766900e+00  1.665153e+01  1.544952e-03  7.731825e+00  1.569210e+09  1.032539e+00
9500          -6.766820e+00  1.632022e+01  1.405716e-03  7.560929e+00  1.657609e+09  1.031778e+00
10000         -6.767543e+00  1.631861e+01  1.286507e-03  7.386854e+00  1.744964e+09  1.031712e+00
10500         -6.768932e+00  1.631648e+01  1.184464e-03  7.211047e+00  1.832174e+09  1.031733e+00
11000         -6.770871e+00  1.631392e+01  1.095772e-03  7.034688e+00  1.918996e+09  1.031962e+00
11500         -6.773259e+00  1.631101e+01  1.018524e-03  6.858842e+00  2.005817e+09  1.032170e+00
12000         -6.776011e+00  1.630781e+01  9.517670e-04  6.684290e+00  2.092689e+09  1.032337e+00
12500         -6.779052e+00  1.630439e+01  8.916855e-04  6.511555e+00  2.179496e+09  1.032521e+00
13000         -6.782321e+00  1.630081e+01  8.401871e-04  6.341242e+00  2.266272e+09  1.032705e+00
13500         -6.785766e+00  1.629709e+01  7.944107e-04  6.173682e+00  2.353064e+09  1.032868e+00
14000         -6.789340e+00  1.629328e+01  7.534027e-04  6.009156e+00  2.440140e+09  1.032900e+00
14500         -6.793009e+00  1.628941e+01  7.162094e-04  5.847995e+00  2.526939e+09  1.033043e+00
15000         -6.796740e+00  1.628550e+01  6.828308e-04  5.690227e+00  2.613728e+09  1.033179e+00
15500         -6.800506e+00  1.628158e+01  6.523132e-04  5.536039e+00  2.700505e+09  1.033312e+00
16000         -6.804285e+00  1.627766e+01  6.246567e-04  5.385500e+00  2.787268e+09  1.033442e+00
16500         -6.808060e+00  1.627377e+01  5.989075e-04  5.238671e+00  2.874045e+09  1.033559e+00
17000         -6.811815e+00  1.626991e+01  5.750656e-04  5.095519e+00  2.960832e+09  1.033666e+00
17500         -6.815537e+00  1.626608e+01  5.540848e-04  4.956117e+00  3.047943e+09  1.033656e+00
18000         -6.819217e+00  1.626231e+01  5.331039e-04  4.820351e+00  3.134749e+09  1.033748e+00
18500         -6.822846e+00  1.625860e+01  5.140305e-04  4.688244e+00  3.221526e+09  1.033844e+00
19000         -6.826417e+00  1.625496e+01  4.959106e-04  4.559730e+00  3.308307e+09  1.033934e+00
19500         -6.829926e+00  1.625138e+01  4.787445e-04  4.434751e+00  3.395091e+09  1.034018e+00
20000         -6.833366e+00  1.624788e+01  4.630089e-04  4.313252e+00  3.481878e+09  1.034097e+00
20500         -6.836738e+00  1.624445e+01  4.472733e-04  4.195168e+00  3.568689e+09  1.034165e+00
21000         -6.840035e+00  1.624110e+01  4.324913e-04  4.080421e+00  3.655865e+09  1.034127e+00
21500         -6.843259e+00  1.623782e+01  4.186630e-04  3.968935e+00  3.742644e+09  1.034201e+00
22000         -6.846406e+00  1.623463e+01  4.053116e-04  3.860635e+00  3.829444e+09  1.034265e+00
22500         -6.849479e+00  1.623151e+01  3.924370e-04  3.755447e+00  3.916244e+09  1.034327e+00
23000         -6.852475e+00  1.622847e+01  3.800392e-04  3.653296e+00  4.003036e+09  1.034387e+00
23500         -6.855395e+00  1.622551e+01  3.685951e-04  3.554097e+00  4.089853e+09  1.034439e+00
24000         -6.858240e+00  1.622262e+01  3.571510e-04  3.457771e+00  4.176644e+09  1.034496e+00
24500         -6.861011e+00  1.621981e+01  3.461838e-04  3.364275e+00  4.263500e+09  1.034534e+00
25000         -6.863707e+00  1.621708e+01  3.356934e-04  3.273471e+00  4.350299e+09  1.034584e+00
25500         -6.866330e+00  1.621442e+01  3.252029e-04  3.185335e+00  4.437058e+09  1.034642e+00
26000         -6.868882e+00  1.621184e+01  3.151894e-04  3.099783e+00  4.523846e+09  1.034690e+00
26500         -6.871363e+00  1.620932e+01  3.056526e-04  3.016716e+00  4.610723e+09  1.034717e+00
27000         -6.873776e+00  1.620688e+01  2.965927e-04  2.936091e+00  4.699172e+09  1.034397e+00
27500         -6.876122e+00  1.620450e+01  2.880096e-04  2.857841e+00  4.786336e+09  1.034366e+00
28000         -6.878402e+00  1.620220e+01  2.789497e-04  2.781886e+00  4.873278e+09  1.034384e+00
28500         -6.880616e+00  1.619995e+01  2.708435e-04  2.708174e+00  4.960411e+09  1.034361e+00
29000         -6.882768e+00  1.619777e+01  2.627373e-04  2.636625e+00  5.047398e+09  1.034369e+00
29500         -6.884858e+00  1.619566e+01  2.546310e-04  2.567157e+00  5.134303e+09  1.034393e+00
30000         -6.886888e+00  1.619360e+01  2.474785e-04  2.499777e+00  5.220809e+09  1.034495e+00
30500         -6.888859e+00  1.619160e+01  2.398491e-04  2.434353e+00  5.307217e+09  1.034613e+00
31000         -6.890775e+00  1.618967e+01  2.326965e-04  2.370871e+00  5.393568e+09  1.034738e+00
31500         -6.892634e+00  1.618778e+01  2.260208e-04  2.309256e+00  5.479856e+09  1.034871e+00
32000         -6.894440e+00  1.618595e+01  2.191067e-04  2.249464e+00  5.566228e+09  1.034985e+00
32500         -6.896193e+00  1.618417e+01  2.126694e-04  2.191442e+00  5.652817e+09  1.035055e+00
33000         -6.897894e+00  1.618245e+01  2.064705e-04  2.135115e+00  5.739143e+09  1.035170e+00
33500         -6.899548e+00  1.618078e+01  2.002716e-04  2.080462e+00  5.825502e+09  1.035276e+00
34000         -6.901151e+00  1.617916e+01  1.943111e-04  2.027424e+00  5.911800e+09  1.035390e+00
34500         -6.902708e+00  1.617758e+01  1.883507e-04  1.975947e+00  5.998073e+09  1.035505e+00
35000         -6.904220e+00  1.617605e+01  1.828671e-04  1.925983e+00  6.084297e+09  1.035625e+00
35500         -6.905686e+00  1.617457e+01  1.773834e-04  1.877509e+00  6.170612e+09  1.035726e+00
36000         -6.907111e+00  1.617312e+01  1.721382e-04  1.830456e+00  6.256886e+09  1.035832e+00
36500         -6.908493e+00  1.617172e+01  1.671314e-04  1.784804e+00  6.343274e+09  1.035915e+00
37000         -6.909835e+00  1.617037e+01  1.621246e-04  1.740491e+00  6.429668e+09  1.035996e+00
37500         -6.911137e+00  1.616905e+01  1.573563e-04  1.697484e+00  6.516088e+09  1.036070e+00
38000         -6.912400e+00  1.616777e+01  1.528263e-04  1.655759e+00  6.602478e+09  1.036147e+00
38500         -6.913627e+00  1.616653e+01  1.482964e-04  1.615261e+00  6.688797e+09  1.036233e+00
39000         -6.914818e+00  1.616532e+01  1.437664e-04  1.575960e+00  6.775115e+09  1.036317e+00
39500         -6.915974e+00  1.616415e+01  1.394749e-04  1.537820e+00  6.861443e+09  1.036398e+00
40000         -6.917095e+00  1.616302e+01  1.354218e-04  1.500809e+00  6.947791e+09  1.036473e+00
40500         -6.918183e+00  1.616191e+01  1.313686e-04  1.464889e+00  7.034597e+09  1.036479e+00
41000         -6.919240e+00  1.616085e+01  1.275539e-04  1.430030e+00  7.120942e+09  1.036552e+00
41500         -6.920265e+00  1.615981e+01  1.237392e-04  1.396209e+00  7.207235e+09  1.036631e+00
42000         -6.921259e+00  1.615880e+01  1.201630e-04  1.363382e+00  7.293621e+09  1.036695e+00
42500         -6.922225e+00  1.615783e+01  1.165867e-04  1.331526e+00  7.379914e+09  1.036770e+00
43000         -6.923162e+00  1.615688e+01  1.132488e-04  1.300608e+00  7.466180e+09  1.036848e+00
43500         -6.924071e+00  1.615595e+01  1.099110e-04  1.270605e+00  7.552441e+09  1.036924e+00
44000         -6.924954e+00  1.615506e+01  1.065731e-04  1.241492e+00  7.638709e+09  1.036997e+00
44500         -6.925810e+00  1.615419e+01  1.032352e-04  1.213231e+00  7.725018e+09  1.037064e+00
45000         -6.926641e+00  1.615335e+01  1.003742e-04  1.185817e+00  7.811390e+09  1.037120e+00
45500         -6.927447e+00  1.615254e+01  9.739399e-05  1.159206e+00  7.897702e+09  1.037183e+00
46000         -6.928230e+00  1.615174e+01  9.441376e-05  1.133382e+00  7.984028e+09  1.037243e+00
46500         -6.928990e+00  1.615097e+01  9.179115e-05  1.108327e+00  8.070349e+09  1.037303e+00
47000         -6.929727e+00  1.615023e+01  8.893013e-05  1.084007e+00  8.156605e+09  1.037369e+00
47500         -6.930443e+00  1.614950e+01  8.642673e-05  1.060410e+00  8.242892e+09  1.037430e+00
48000         -6.931137e+00  1.614880e+01  8.380413e-05  1.037503e+00  8.336484e+09  1.036581e+00
48500         -6.931810e+00  1.614812e+01  8.141994e-05  1.015279e+00  8.423239e+09  1.036591e+00
49000         -6.932465e+00  1.614746e+01  7.891655e-05  9.937114e-01  8.509872e+09  1.036616e+00
49500         -6.933099e+00  1.614682e+01  7.665157e-05  9.727796e-01  8.602834e+09  1.035878e+00
50000         -6.933715e+00  1.614619e+01  7.426739e-05  9.524679e-01  8.691350e+09  1.035685e+00
50500         -6.934313e+00  1.614559e+01  7.212162e-05  9.327558e-01  8.779585e+09  1.035529e+00
51000         -6.934893e+00  1.614500e+01  6.997585e-05  9.136302e-01  8.866985e+09  1.035474e+00
51500         -6.935455e+00  1.614443e+01  6.794930e-05  8.950651e-01  8.954039e+09  1.035459e+00
52000         -6.936001e+00  1.614388e+01  6.592274e-05  8.770468e-01  9.041237e+09  1.035429e+00
52500         -6.936532e+00  1.614334e+01  6.389618e-05  8.595654e-01  9.128095e+09  1.035438e+00
53000         -6.937045e+00  1.614282e+01  6.210804e-05  8.426017e-01  9.214933e+09  1.035449e+00
53500         -6.937545e+00  1.614232e+01  6.020069e-05  8.261351e-01  9.301803e+09  1.035456e+00
54000         -6.938028e+00  1.614183e+01  5.853176e-05  8.101581e-01  9.388641e+09  1.035466e+00
54500         -6.938499e+00  1.614135e+01  5.674362e-05  7.946542e-01  9.475463e+09  1.035478e+00
55000         -6.938955e+00  1.614089e+01  5.507469e-05  7.796040e-01  9.562244e+09  1.035494e+00
55500         -6.939398e+00  1.614044e+01  5.340576e-05  7.650030e-01  9.649357e+09  1.035475e+00
56000         -6.939828e+00  1.614001e+01  5.185604e-05  7.508305e-01  9.736233e+09  1.035481e+00
56500         -6.940245e+00  1.613958e+01  5.030632e-05  7.370809e-01  9.823045e+09  1.035493e+00
57000         -6.940649e+00  1.613918e+01  4.887581e-05  7.237347e-01  9.909857e+09  1.035505e+00
57500         -6.941042e+00  1.613878e+01  4.744530e-05  7.107827e-01  9.996791e+09  1.035505e+00
58000         -6.941422e+00  1.613839e+01  4.601479e-05  6.982163e-01  1.008363e+10  1.035514e+00
58500         -6.941792e+00  1.613802e+01  4.458427e-05  6.860223e-01  1.017043e+10  1.035527e+00
59000         -6.942152e+00  1.613765e+01  4.327297e-05  6.741840e-01  1.025750e+10  1.035512e+00
59500         -6.942500e+00  1.613730e+01  4.208088e-05  6.626962e-01  1.034431e+10  1.035524e+00
60000         -6.942838e+00  1.613696e+01  4.076958e-05  6.515505e-01  1.043112e+10  1.035536e+00
60500         -6.943166e+00  1.613663e+01  3.957748e-05  6.407332e-01  1.051826e+10  1.035515e+00
61000         -6.943483e+00  1.613631e+01  3.844500e-05  6.302368e-01  1.060515e+10  1.035518e+00
61500         -6.943793e+00  1.613599e+01  3.731251e-05  6.200507e-01  1.069200e+10  1.035526e+00
62000         -6.944093e+00  1.613569e+01  3.618002e-05  6.101633e-01  1.077886e+10  1.035532e+00
62500         -6.944384e+00  1.613540e+01  3.510714e-05  6.005704e-01  1.086606e+10  1.035506e+00
63000         -6.944665e+00  1.613511e+01  3.403425e-05  5.912579e-01  1.095298e+10  1.035507e+00
63500         -6.944940e+00  1.613483e+01  3.302097e-05  5.822254e-01  1.103999e+10  1.035500e+00
64000         -6.945205e+00  1.613457e+01  3.206730e-05  5.734581e-01  1.112711e+10  1.035482e+00
64500         -6.945463e+00  1.613430e+01  3.111362e-05  5.649481e-01  1.121396e+10  1.035489e+00
65000         -6.945714e+00  1.613405e+01  3.021955e-05  5.566903e-01  1.130075e+10  1.035502e+00
65500         -6.945956e+00  1.613380e+01  2.932549e-05  5.486770e-01  1.138754e+10  1.035515e+00
66000         -6.946193e+00  1.613356e+01  2.849102e-05  5.409016e-01  1.147434e+10  1.035526e+00
66500         -6.946421e+00  1.613333e+01  2.765656e-05  5.333545e-01  1.156112e+10  1.035540e+00
67000         -6.946643e+00  1.613311e+01  2.682209e-05  5.260314e-01  1.164789e+10  1.035553e+00
67500         -6.946858e+00  1.613289e+01  2.598763e-05  5.189250e-01  1.173493e+10  1.035543e+00
68000         -6.947067e+00  1.613268e+01  2.527237e-05  5.120263e-01  1.182177e+10  1.035551e+00
68500         -6.947270e+00  1.613247e+01  2.449751e-05  5.053338e-01  1.190875e+10  1.035546e+00
69000         -6.947467e+00  1.613227e+01  2.378225e-05  4.988406e-01  1.199774e+10  1.035367e+00
69500         -6.947659e+00  1.613208e+01  2.306700e-05  4.925364e-01  1.208487e+10  1.035351e+00
