Output:

   Iterations        T(min)        T(max)       T(diff)        T(avg)          Time        FLOP/s
70000         -6.947844e+00  1.613189e+01  2.241135e-05  4.864199e-01  1.217185e+10  1.035348e+00
70500         -6.948024e+00  1.613171e+01  2.169609e-05  4.804830e-01  1.226005e+10  1.035242e+00
71000         -6.948199e+00  1.613153e+01  2.104044e-05  4.747236e-01  1.234900e+10  1.035074e+00
71500         -6.948368e+00  1.613136e+01  2.044439e-05  4.691324e-01  1.243764e+10  1.034935e+00
72000         -6.948532e+00  1.613120e+01  1.984835e-05  4.637080e-01  1.252504e+10  1.034900e+00
72500         -6.948692e+00  1.613103e+01  1.925230e-05  4.584435e-01  1.261139e+10  1.034952e+00
73000         -6.948847e+00  1.613088e+01  1.871586e-05  4.533333e-01  1.269767e+10  1.035008e+00
73500         -6.948997e+00  1.613072e+01  1.817942e-05  4.483766e-01  1.278395e+10  1.035064e+00
74000         -6.949143e+00  1.613058e+01  1.764297e-05  4.435655e-01  1.287030e+10  1.035113e+00
74500         -6.949285e+00  1.613044e+01  1.710653e-05  4.388944e-01  1.295684e+10  1.035147e+00
75000         -6.949422e+00  1.613029e+01  1.662970e-05  4.343639e-01  1.304318e+10  1.035196e+00
75500         -6.949554e+00  1.613016e+01  1.609325e-05  4.299652e-01  1.312947e+10  1.035249e+00
76000         -6.949684e+00  1.613003e+01  1.561642e-05  4.256999e-01  1.321573e+10  1.035303e+00
76500         -6.949810e+00  1.612990e+01  1.519918e-05  4.215586e-01  1.330199e+10  1.035356e+00
77000         -6.949931e+00  1.612978e+01  1.472235e-05  4.175381e-01  1.338825e+10  1.035408e+00
77500         -6.950050e+00  1.612966e+01  1.424551e-05  4.136380e-01  1.347458e+10  1.035455e+00
78000         -6.950165e+00  1.612954e+01  1.388788e-05  4.098552e-01  1.356092e+10  1.035501e+00
78500         -6.950276e+00  1.612943e+01  1.347065e-05  4.061816e-01  1.364753e+10  1.035525e+00
79000         -6.950384e+00  1.612932e+01  1.305342e-05  4.026186e-01  1.373379e+10  1.035575e+00
79500         -6.950490e+00  1.612921e+01  1.263618e-05  3.991580e-01  1.382012e+10  1.035619e+00
80000         -6.950591e+00  1.612911e+01  1.227856e-05  3.958018e-01  1.390641e+10  1.035667e+00
80500         -6.950690e+00  1.612901e+01  1.192093e-05  3.925440e-01  1.399280e+10  1.035705e+00
81000         -6.950786e+00  1.612891e+01  1.156330e-05  3.893854e-01  1.407913e+10  1.035748e+00
81500         -6.950879e+00  1.612882e+01  1.123548e-05  3.863159e-01  1.416544e+10  1.035792e+00
82000         -6.950969e+00  1.612873e+01  1.090765e-05  3.833391e-01  1.425172e+10  1.035837e+00
82500         -6.951056e+00  1.612864e+01  1.057982e-05  3.804485e-01  1.433803e+10  1.035880e+00
83000         -6.951142e+00  1.612855e+01  1.028180e-05  3.776460e-01  1.442441e+10  1.035917e+00
